country,category,mean_q1d,mean_q1e,mean_q1f,mean_q1g,mean_q2d,mean_q2e,mean_q2f,mean_q2g,sd_q1d,sd_q1e,sd_q1f,sd_q1g,sd_q2d,sd_q2e,sd_q2f,sd_q2g,n,upper_q1d,lower_q1d,upper_q1e,lower_q1e,upper_q1f,lower_q1f,upper_q1g,lower_q1g,upper_q2d,lower_q2d,upper_q2e,lower_q2e,upper_q2f,lower_q2f,upper_q2g,lower_q2g
Brazil,Financially Insecured,46.984924623115575,45.822784810126585,48.35443037974684,51.150895140664964,54.68354430379747,45.80152671755725,43.07692307692308,45.012787723785166,49.97182857624634,49.888393076934776,50.03629088420545,50.050797201230665,49.843293594424885,49.88692620142528,49.58199804721432,49.81439746729034,399,51.88829687445741,42.08155237177374,50.71797014248312,40.92759947777005,53.26412784873849,43.444732910755185,56.0620160090878,46.23977427224213,59.57430435180101,49.792784255793926,50.696568116083974,40.90648531903053,47.94204409245382,38.21180206139234,49.90071240490301,40.12486304266732
Brazil,Financially Secured,52.332361516034986,51.74418604651163,57.122093023255815,57.68115942028985,45.13788098693759,41.228070175438596,36.27019089574156,40.52863436123348,49.982014598455415,50.005923619182845,49.52616446679387,49.4423159381732,49.79918833550754,49.26054109833824,48.113320353148374,49.13082313384092,693,56.053734590920946,48.610988441149026,55.46733924944358,48.021032843579675,60.80952612153665,53.43465992497498,61.36234963982151,53.999969200758194,48.845641870762776,41.4301201031124,44.89572648682173,37.56041386405546,39.852431754658475,32.68795003682464,44.186632619729245,36.87063610273771
Colombia,Financially Insecured,23.745173745173744,20.392156862745097,28.290766208251473,25,77.51937984496125,74.50980392156863,72.79843444227005,73.828125,42.59326694038007,40.33069510724917,45.085504213214705,43.34361862984619,41.78597354205571,43.62339837762022,44.543396745451,44.00001945827714,520,27.406136846351185,20.084210643996304,23.85864810041298,16.92566562507721,32.16594130467215,24.415591111830793,28.72545709389903,21.27454290610097,81.11095471754315,73.92780497237935,78.2593085564673,70.76029928666996,76.62701448790175,68.96985439663835,77.61000085172364,70.04624914827636
Colombia,Financially Secured,27.95969773299748,25.32299741602067,30.05181347150259,30.279898218829516,71.78841309823679,69.44444444444444,67.44186046511628,69.03553299492386,44.93675002643946,43.54244624718635,45.90784002677057,46.00546804223964,45.05973102842683,46.12250549744086,46.91982583762784,46.29349622482339,398,32.37455019776361,23.54484526823135,29.600865219616455,21.045129612424883,34.56207156927398,25.5415553737312,34.79974787105178,25.76004856660725,76.21534794500482,67.36147825146875,73.97579254943112,64.91309633945777,72.05154204252834,62.83217888770422,73.58368024167741,64.4873857481703
Costa Rica,Financially Insecured,40.39855072463768,40.15151515151515,42.16634429400386,35.892514395393476,34.85401459854015,33.65384615384615,30.60836501901141,38.61003861003861,49.11397018019726,49.066965795989645,49.430353760116105,48.01462078619991,47.69434065070844,47.29804837589987,46.13036027842167,48.732468013463325,558,44.473704618878514,36.323396830396845,44.22276893141688,36.08026137161342,46.26774961473394,38.06493897327379,39.876451514699546,31.908577276087406,38.81137698082929,30.896652216251002,37.57832681223844,29.729365495453866,34.43595860677515,26.780771431247665,42.65353796617708,34.56653925390013
Costa Rica,Financially Secured,56.12009237875289,52.49406175771971,56.594724220623505,50.95238095238095,30.465116279069765,26.190476190476193,24.70308788598575,33.72641509433962,49.681433188819646,49.997172185615476,49.62272346050452,50.0505483774709,46.07956473445668,44.01954333562263,43.17979813098637,47.33343981985183,435,60.78889547868334,51.451289278822436,57.1925363689652,47.795587146474226,61.25801008516117,51.93143835608584,55.655871580959314,46.248890323802584,34.79543448583381,26.134798072305717,30.327204283681198,22.05374809727119,28.760901085579356,20.645274686392142,38.17456597037006,29.278264218309182
Dominica,Financially Insecured,40,39.097744360902254,39.39393939393939,43.93939393939394,40,29.14798206278027,31.16883116883117,29.30232558139535,49.079110873034274,48.888917548293456,48.95497389267831,49.72559799750266,49.08249086070214,45.54663566811891,46.41890617374589,45.62112095082046,275,45.8007802143238,34.1992197856762,44.876045160757705,33.3194435610468,45.18004755478248,33.6078312330963,49.816584048960806,38.06220382982707,45.80117970333735,34.19882029666265,34.531250388405184,23.76471373715535,36.65519528002704,25.6824670576353,34.694397504853804,23.910253657936902
Dominica,Financially Secured,36.36363636363637,25.365853658536587,42.51207729468599,43.47826086956522,49.5,32.10526315789474,35.9375,29.31937172774869,48.220066623500486,43.616957991018175,49.55597599022252,49.693021338778316,50.12296437551299,46.81144745000142,48.107169301673686,45.64228869697414,209,42.90112179992033,29.826150927352405,31.279267878132927,19.452439438940246,49.23068002591961,35.793474563452364,50.215443665759956,36.74107807337048,56.29547276835572,42.70452723164428,38.45177359192658,25.758752723862898,42.45967926503785,29.415320734962147,35.507372253855706,23.131371201641667
Dominican Republic,Financially Insecured,32.05128205128205,35.56280587275693,40.35947712418301,40.68627450980392,47.73462783171521,39.18032786885246,40.849673202614376,40.16393442622951,46.704809816451935,47.9094126132936,49.10193337270216,49.16507090968786,49.989115167949876,48.85537390939347,49.19579389920006,49.06320454601493,629,35.70127778296525,28.40128631959885,39.30694169588093,31.818670049632935,44.19680882368228,36.522145424683735,44.528540427886085,36.84400859172176,51.641293070492495,43.82796259293792,42.99839086792838,35.36226486977654,44.69434013209183,37.00500627313692,43.998239455613714,36.329629396845306
Dominican Republic,Financially Secured,28.445747800586513,35.50295857988166,45.07462686567164,48.81656804733728,60.588235294117645,37.75811209439528,38.98809523809524,37.202380952380956,45.181862782677285,47.92317346565282,49.831246189429095,50.06010118467585,48.93805466624869,48.54986350268567,48.845047485121135,48.40655679329816,341,33.241348492058506,23.65014710911452,40.58952185229126,30.416395307472047,50.36371288304936,39.78554084829392,54.12994472264407,43.503191372030486,65.78251800719639,55.3939525810389,42.911192216483904,32.605031972306655,44.1725061735478,33.80368430264268,42.34025050739011,32.0645113973718
