country,category,mean,n,sd,upper,lower
LAC avg,Male,36.487893777662066,8051,48.14275328578391,37.53952163517267,35.43626592015146
Antigua and Barbuda,Dark Skin,50.442477876106196,130,50.22075162525258,59.07559441402284,41.809361338189554
Antigua and Barbuda,Light Skin,56.14617940199336,370,49.70343945531041,61.210738602894686,51.08162020109203
Argentina,Dark Skin,62.36413043478261,743,48.48011603120696,65.85011383772127,58.878147031843945
Argentina,Light Skin,75,16,44.721359549995796,96.91346617949793,53.08653382050206
Bahamas,Dark Skin,40.21164021164021,207,49.162752636152106,46.909053350422184,33.51422707285823
Bahamas,Light Skin,40,293,49.090081132279366,45.62103139622666,34.37896860377334
Barbados,Dark Skin,48.275862068965516,89,50.2599497624131,58.71784834765279,37.83387579027824
Barbados,Light Skin,23.076923076923077,411,42.184875487101145,27.155342928077904,18.99850322576825
Bolivia,Dark Skin,48.46938775510204,806,50.00847010385211,51.921875287615634,45.01690022258845
Bolivia,Light Skin,47.340425531914896,194,50.06253911137396,54.385215977556484,40.29563508627331
Brazil,Dark Skin,90.2465166130761,938,29.684378725531843,92.14620608567391,88.34682714047828
Brazil,Light Skin,85.71428571428571,171,35.097322834447404,90.9748460565908,80.45372537198061
Colombia,Dark Skin,46.96969696969697,814,49.93962565719101,50.40044759768168,43.538946341712254
Colombia,Light Skin,63.63636363636363,186,48.241815132442184,70.56939618867843,56.70333108404884
Costa Rica,Dark Skin,38.72229465449804,782,48.743317795515644,42.138687326558454,35.30590198243763
Costa Rica,Light Skin,35.77981651376147,223,48.04555399776709,42.08585831550544,29.47377471201749
Dominica,Dark Skin,10.638297872340425,47,31.166052833390548,19.548528494208696,1.7280672504721526
Dominica,Light Skin,11.670480549199084,453,32.143619410471494,14.630548955664398,8.71041214273377
Dominican Republic,Dark Skin,41.29353233830846,844,49.266787460318774,44.61736454910923,37.969700127507686
Dominican Republic,Light Skin,42.857142857142854,158,49.648625302195015,50.598814656803505,35.1154710574822
Ecuador,Dark Skin,62.66094420600859,955,48.396421319449274,65.73044418275639,59.59144422926079
Ecuador,Light Skin,60,50,49.48716593053935,73.7171425595858,46.282857440414205
Grenada,Dark Skin,33.333333333333336,82,47.43416490252569,43.60025868114613,23.066407985520538
Grenada,Light Skin,37.81094527363184,417,48.551939739528564,42.471038761555825,33.15085178570785
Guyana,Dark Skin,65.85365853658537,275,47.51673096136092,71.46977724588848,60.237539827282255
Guyana,Light Skin,68.07511737089202,225,46.728380033720214,74.18095902863146,61.96927571315258
Haiti,Dark Skin,29.447852760736197,442,45.650869517270635,33.70377800262315,25.191927518849237
Haiti,Light Skin,52.459016393442624,65,50.35393853198635,64.70046570006167,40.217567086823585
