group,category,q48e_G1,q48f_G1,q48g_G1,q48e_G2,q48f_G2,q48g_G2
Grenada,Male,0.8617886178861789,0.5289256198347108,0.7064220183486238,0.4698795180722891,0.3947368421052631,0.5064935064935064
Guyana,Female,0.41666666666666663,0.5949367088607594,0.5853658536585366,0.33870967741935487,0.3125,0.3225806451612903
Guyana,Male,0.27450980392156865,0.62,0.4807692307692307,0.2857142857142857,0.2857142857142857,0.35416666666666663
Haiti,Female,0.21875,0.24731182795698933,0.5154639175257731,0.46280991735537186,0.4193548387096774,0.29365079365079366
Haiti,Male,0.25925925925925924,0.36448598130841126,0.6226415094339622,0.44827586206896564,0.382608695652174,0.3504273504273504
Jamaica,Female,0.4693877551020409,0.5985401459854016,0.6598639455782312,0.4396551724137931,0.42735042735042733,0.4956521739130434
Jamaica,Male,0.504424778761062,0.5607476635514018,0.6785714285714285,0.4649122807017545,0.5446428571428572,0.49074074074074076
Peru,Female,0.20814479638009048,0.4768518518518518,0.7123287671232876,0.4462809917355372,0.37398373983739835,0.35950413223140504
Peru,Male,0.1805555555555556,0.4764150943396227,0.719626168224299,0.47422680412371127,0.4123711340206186,0.38974358974358964
St. Kitts and Nevis,Female,0.2571428571428571,0.8071428571428572,0.7285714285714285,0.4414414414414415,0.287037037037037,0.292929292929293
St. Kitts and Nevis,Male,0.49612403100775193,0.6666666666666666,0.8412698412698413,0.4137931034482759,0.2564102564102564,0.42241379310344823
St. Lucia,Female,0.3879310344827586,0.5321100917431193,0.6448598130841121,0.32231404958677684,0.23423423423423423,0.29126213592233013
St. Lucia,Male,0.4015748031496063,0.5901639344262295,0.592,0.3454545454545454,0.35135135135135137,0.4
St. Vincent and the Grenadines,Female,0.35658914728682173,0.5655737704918032,0.5491803278688524,0.29245283018867924,0.28301886792452835,0.31034482758620685
St. Vincent and the Grenadines,Male,0.3973509933774834,0.4736842105263158,0.6643356643356644,0.21333333333333332,0.18666666666666665,0.3055555555555556
Suriname,Female,0.3931623931623932,0.48571428571428565,0.5982142857142858,0.4038461538461539,0.5346534653465347,0.5714285714285715
