country,year,q1d,q1e,q1f,q1g,q2d,q2e,q2f,q2g
Brazil,2022,50.63636363636363,49.81785063752277,54.049135577798005,55.51504102096627,48.45454545454545,42.68738574040219,38.73045078196872,42.279411764705884
Chile,2011,60.705882352941174,NA,NA,NA,29.334916864608076,NA,NA,36.69833729216152
Chile,2014,61.74698795180723,NA,NA,NA,23.572170301142265,NA,NA,32.61316872427983
Chile,2017,46.41434262948207,34.0080971659919,35.70701932858596,29.644670050761423,42.71457085828344,44.893832153690596,44.680851063829785,44.09687184661958
Colombia,2013,33.69458128078818,NA,NA,NA,55.17928286852589,NA,NA,58.44155844155844
Colombia,2016,14.356929212362912,NA,NA,NA,65.46546546546547,NA,NA,66.29554655870446
Colombia,2018,35.54216867469879,30.091185410334347,33.4349593495935,28.615071283095723,58.66935483870967,57.75075987841946,51.42276422764228,57.727737973387924
Colombia,2022,25.352112676056336,22.950819672131146,28.615384615384613,26.802030456852794,75.678391959799,73.19796954314721,71.2678936605317,72.920892494929
Costa Rica,2014,44.18145956607495,NA,NA,NA,27.606752730883816,NA,NA,23.78048780487805
Costa Rica,2017,36.43122676579926,38.86792452830189,41.39886578449906,33.0188679245283,36.87150837988827,30.32015065913371,30.170777988614798,31.947069943289225
Costa Rica,2019,48.834951456310684,44.84126984126984,44.39959636730575,39.387956564659426,31.34765625,25.671641791044774,25.199203187250994,27.191235059760956
Costa Rica,2022,47.44232698094283,45.625,48.520084566596196,42.70724029380902,32.82828282828283,30.07360672975815,28.154327424400417,36.16352201257861
Dominica,2016,36.895161290322584,NA,NA,NA,41.260162601626014,NA,NA,29.559748427672954
Dominica,2018,42.54473161033797,37.578288100208766,45.39748953974895,45.20255863539446,38.83089770354906,32.50564334085779,27.68878718535469,28.832951945080094
Dominica,2022,38.6,33.059548254620125,40.86242299794661,43.94250513347023,43.75,30.140186915887853,33.56164383561644,28.26603325415677
Dominican Republic,2013,19.3158953722334,NA,NA,NA,63.38174273858921,NA,NA,51.2221041445271
Dominican Republic,2016,18.83629191321499,NA,NA,NA,68.07228915662651,NA,NA,55.65565565565566
Dominican Republic,2018,30.552763819095478,31.179487179487182,44.59183673469388,37.66632548618219,49.691358024691354,40.74074074074074,33.880903490759756,37.8099173553719
Dominican Republic,2022,30.823293172690764,35.77981651376147,41.453428863868986,43.4560327198364,51.825557809330626,38.792221084953944,40.47131147540984,39.01437371663244
Ecuador,2012,40.39965247610773,NA,NA,NA,31.718061674008812,NA,NA,45.43828264758497
Ecuador,2014,48.58870967741936,NA,NA,NA,42.901234567901234,NA,NA,57.80104712041884
Ecuador,2017,44.23897581792319,34.236804564907274,39.59827833572454,31.616595135908444,40.08620689655172,35.31114327062229,32.808022922636106,35.24355300859599
Ecuador,2022,33.366733466933866,19.611848825331972,27.01325178389399,17.98780487804878,57.89473684210527,67.81376518218623,57.055837563451774,71.5587044534413
El Salvador,2013,21.592039800995025,NA,NA,NA,52.663316582914575,NA,NA,44.263959390862944
El Salvador,2016,20.56451612903226,NA,NA,NA,45.13089005235602,NA,NA,47.593582887700535
El Salvador,2018,13.636363636363635,13.184584178498987,15.173116089613034,12.525458248472503,73.36024217961655,73.2994923857868,70.23445463812436,73.71663244353182
El Salvador,2021,48.30858085808581,34.487291849255044,30.446194225721783,28.74834144183989,25.61343090830822,25.707964601769913,25.385632437197003,26.282909415439537
Grenada,2016,48.22834645669291,NA,NA,NA,38.17097415506958,NA,NA,26.041666666666668
Grenada,2018,41.12903225806452,42.946058091286304,44.8559670781893,48.870636550308014,39.63782696177062,28.690228690228693,30.08298755186722,29.521829521829524
Grenada,2022,44.6,43.958333333333336,52.10084033613446,50.71868583162218,42.28329809725159,16.428571428571427,14.285714285714285,13.544018058690746
Guatemala,2013,16.470588235294116,NA,NA,NA,56.775469831849655,NA,NA,36.58536585365854
Guatemala,2016,12.367149758454106,NA,NA,NA,59.356725146198826,NA,NA,38.51485148514852
Guatemala,2018,27.28184553660983,30.952380952380953,34.164070612668745,32.8125,52.106885919835555,44.3024494142705,41.75365344467641,43.75655823714585
Guatemala,2021,36.56866693515909,38.95718524798644,46.221662468513856,36.5874363327674,47.80287474332649,34.40721649484536,32.021996615905245,36.12654980761009
Guyana,2016,35.84158415841584,NA,NA,NA,46.787148594377506,NA,NA,18.219461697722565
Guyana,2018,33.97683397683397,45.073375262054505,52.52100840336135,56.81818181818182,50,33.622559652928416,28.104575163398692,26.76659528907923
Guyana,2022,34.07707910750507,41.39344262295082,44.421487603305785,50.816326530612244,66.80497925311202,49.89561586638831,51.67364016736402,52.066115702479344
Haiti,2021,48,35.38461538461539,41.629955947136565,40.65934065934066,52.926829268292686,52.736318407960205,50.24390243902439,48.402948402948404
Haiti,2022,44.97991967871486,30.800821355236142,36.511156186612574,38.21138211382114,51.90677966101694,56.371490280777536,57.41935483870968,57.995735607675904
Honduras,2014,16.781836130306022,NA,NA,NA,55.1,NA,NA,43.91480730223123
Honduras,2017,25.596330275229356,26.066790352504636,31.847725162488395,26.660430308699716,51.02230483271375,41.62724692526017,37.4412041392286,41.254752851711025
Honduras,2019,29.846153846153843,23.90829694323144,30.54945054945055,23.548740416210297,39.86856516976999,37.883959044368595,31.32118451025057,34.494773519163765
Honduras,2021,29.45945945945946,28.47612359550562,38.19201121233357,30.63665142455153,44.255466851787574,38.39857651245552,32.59180790960452,37.28148412415269
Jamaica,2011,24.922760041194643,NA,NA,NA,54.95307612095933,NA,NA,30.07856341189675
Jamaica,2014,30.76181292189007,NA,NA,NA,50.1953125,NA,NA,24.87411883182276
Jamaica,2017,25.5,29.71576227390181,32.03125,40.25974025974026,53.78787878787878,34.447300771208226,26.041666666666668,27.821522309711288
Jamaica,2019,35.32388663967611,39.20515574650913,45.1219512195122,53.246753246753244,45.15800203873599,31.406761177753545,26,26.548672566371685
Jamaica,2022,28.77406281661601,34.61538461538461,36.29782833505688,41.735537190082646,61.702127659574465,45.577523413111344,46.06505771248688,43.12896405919662
Mexico,2012,31.2,NA,NA,NA,64.1,NA,NA,44.4
Mexico,2014,18.6,NA,NA,NA,76.55310621242485,NA,NA,55.39858728557013
Mexico,2017,20.72072072072072,21.596724667349026,30.864197530864196,26.163391933815927,64.40162271805275,55.7157569515963,49.1701244813278,50.884495317377734
Nicaragua,2012,45.94594594594595,NA,NA,NA,45.87525150905433,NA,NA,52.22222222222223
Nicaragua,2014,31.728880157170924,NA,NA,NA,40.59304703476483,NA,NA,34.85952133194589
Nicaragua,2017,34.794520547945204,39.0984360625575,37.31617647058824,33.85899814471243,49.01960784313725,38.984674329501914,41.52542372881356,39.787028073572124
Nicaragua,2019,39.479166666666664,35.932203389830505,44.201312910284464,39.910813823857296,35.57800224466891,34.260289210233594,31.5450643776824,35.19125683060109
Nicaragua,2021,56.11940298507463,52.89778714436248,53.75128468653648,49.94786235662148,25.266524520255864,18.12227074235808,19.46808510638298,22.043010752688172
Panama,2012,35.406218655967905,NA,NA,NA,53.46938775510204,NA,NA,56.49948822927329
Panama,2014,46.80432645034415,NA,NA,NA,33.266932270916335,NA,NA,30.892678034102307
Panama,2017,33.86773547094188,27.906976744186046,30.738119312436808,25.78680203045685,44.568527918781726,41.743589743589745,38.15384615384615,41.39344262295082
Panama,2019,43.85786802030457,27.074688796680498,32.247899159663866,23.854166666666668,38.19301848049281,40.77976817702845,39.075630252100844,43.19148936170213
Panama,2021,44.64358452138492,32.57766582703611,34.670608108108105,28.746306458421273,38.38723225535489,42.27642276422765,36.81760473973762,42.21556886227545
Paraguay,2021,34.274193548387096,29.05894519131334,34.942287513116476,27.55417956656347,71.22593718338399,71.54639175257732,65.72622779519331,74.76828012358393
Peru,2013,25.61174551386623,NA,NA,NA,53.099510603588904,NA,NA,60.21328958162429
Peru,2016,34.59244532803181,NA,NA,NA,49.701195219123505,NA,NA,63.126252505010015
Peru,2018,25.607287449392715,16.343207354443308,21.472392638036812,13.353720693170235,62.11812627291242,64.71794871794872,62.34567901234568,68.44262295081968
Peru,2022,28.192534381139488,23.054187192118228,25.595238095238095,21.76063303659743,61.408730158730165,63.336663336663335,57.99999999999999,68.01980198019803
St. Kitts and Nevis,2016,34.73053892215569,NA,NA,NA,33.61169102296451,NA,NA,21.809744779582367
St. Kitts and Nevis,2018,45.194274028629856,39.95584988962472,43.84787472035794,51.30434782608696,38.46153846153847,26.565874730021598,24.45414847161572,23.093681917211327
St. Kitts and Nevis,2022,15.461847389558233,11.991869918699187,23.83838383838384,24.346076458752517,69.47791164658635,49.064449064449065,51.32924335378323,55.51020408163265
St. Lucia,2016,34.86973947895792,NA,NA,NA,48.223350253807105,NA,NA,30.458515283842797
St. Lucia,2018,38.83299798792756,40.208333333333336,43.42379958246347,46.98544698544699,45.45454545454545,31.469979296066253,29.36344969199179,31.611570247933884
St. Lucia,2022,50.80321285140562,44.008714596949886,48.817204301075265,53.31858407079646,50.505050505050505,27.027027027027028,29.493087557603687,29.53020134228188
St. Vincent and the Grenadines,2016,44.800000000000004,NA,NA,NA,36.34496919917864,NA,NA,31.4410480349345
St. Vincent and the Grenadines,2018,47.63860369609856,47.34513274336283,45.751633986928105,52.49457700650759,34.6723044397463,27.93791574279379,28.054298642533936,26.45739910313901
St. Vincent and the Grenadines,2022,24.897959183673468,20.084566596194502,36.46055437100213,34.59119496855346,44.11764705882353,42.06896551724138,42.76018099547511,40.54054054054054
Suriname,2016,29.980276134122285,NA,NA,NA,37.02213279678068,NA,NA,19.28721174004193
Suriname,2018,43.65079365079365,46.45161290322581,46.75324675324675,50.8695652173913,47.58909853249476,39.27765237020316,38.44444444444444,36.81818181818181
Suriname,2022,27.309236947791167,34.12017167381974,36.3013698630137,41.79775280898876,54.926624737945495,30.184331797235025,29.326923076923077,26.894865525672373
Trinidad and Tobago,2016,39.900000000000006,NA,NA,NA,52.98281092012134,NA,NA,29.657387580299787
Trinidad and Tobago,2018,46.231155778894475,41.92513368983957,45.8963282937365,50.47720042417816,41.38286893704851,32.056892778993436,30.32967032967033,29.03930131004367
Trinidad and Tobago,2022,42.354124748490946,36.17021276595745,41.603466955579634,45.797413793103445,47.8844169246646,37.15846994535519,36.81917211328976,36.56147986942329
Uruguay,2012,51.755265797392184,NA,NA,NA,25.661914460285136,NA,NA,14.40501043841336
Uruguay,2016,53.125,NA,NA,NA,31.01010101010101,NA,NA,28.988529718456725
Uruguay,2018,52.87009063444109,41.883116883116884,47.47899159663865,42.44060475161987,25.87628865979382,32.88439955106622,30.387931034482758,33.40782122905028
